Nama_Aplikasi,Deskripsi,Link_Drive
Rencana Belajar AI: Personal Learning Plan Generator,"Bangun sebuah aplikasi web yang berfungsi sebagai perancang kurikulum pribadi. Pengguna memasukkan sebuah topik atau keahlian besar yang ingin dipelajari, dan AI akan membuat rencana belajar mingguan yang terstruktur, logis, dan bertahap dari tingkat dasar hingga mahir.",https://ai.studio/apps/drive/1Qk-8-TONexe0JWa_YJSypqspztsSPpgY
Debat Pro AI: Argumen Tandingan,"Bangun sebuah aplikasi web interaktif yang berfungsi sebagai lawan debat virtual. Pengguna memasukkan sebuah topik, memilih posisi (Pro atau Kontra), dan menulis argumen mereka. AI akan secara otomatis mengambil posisi yang berlawanan dan memberikan argumen tandingan yang logis dan terstruktur untuk melatih kemampuan berdebat pengguna.",https://ai.studio/apps/drive/1lZXXCPg7a3xe4BLX8YH3VgRohz-RJX57
AI Storyteller: Alternate History,"Bangun sebuah aplikasi web naratif yang menceritakan kembali peristiwa sejarah dari sudut pandang yang tidak biasa. Pengguna memasukkan sebuah peristiwa sejarah dan perspektif unik, lalu AI akan menulis sebuah cerita pendek yang imersif dari sudut pandang tersebut.",https://ai.studio/apps/drive/1xvkQC_DzdAC-AaFx9q83bO7YhpmSyofA
QuizMaster AI: Pembuat Soal Latihan,"Bangun sebuah aplikasi web yang secara otomatis membuat soal-soal latihan dari sebuah teks atau materi pelajaran. Pengguna menempelkan materi, memilih jenis dan jumlah soal, dan AI akan menghasilkan kuis yang relevan untuk menguji pemahaman.",https://ai.studio/apps/drive/1uX7dBAoWllXm14ozH8zSmw0ZON-1yLVU
"Idiom Bridge AI: Penerjemah Makna, Bukan Kata","Bangun sebuah aplikasi web linguistik yang mampu menerjemahkan idiom. Aplikasi ini tidak menerjemahkan secara harfiah, melainkan menjelaskan makna sebenarnya dari idiom tersebut dan memberikan padanan idiom yang memiliki makna serupa di bahasa target.",https://ai.studio/apps/drive/1jJH9lq_L6CRTRalBP_nzlRlpW72-fjzn
Analogi Cerdas AI: Concept Connector,"Bangun sebuah aplikasi web kreatif yang membantu pengguna memahami hubungan antara dua konsep yang berbeda dengan menciptakan analogi yang cerdas. Pengguna memasukkan dua konsep, dan AI akan membuat sebuah perumpamaan yang mudah dipahami untuk menjelaskan bagaimana keduanya terhubung.",https://ai.studio/apps/drive/1clwFHinrGzszNxkLrQWn9lJ_FucvrqQf
Riset Cepat AI: Research Kick-starter,"Bangun sebuah aplikasi web yang berfungsi sebagai titik awal untuk sebuah riset. Pengguna memasukkan sebuah pertanyaan riset, dan AI akan memberikan ringkasan awal, mengidentifikasi poin-poin kunci, dan menyarankan kata kunci untuk pencarian literatur lebih lanjut, mempercepat proses riset secara signifikan.",https://ai.studio/apps/drive/1QIXPxaXB4Tnk9zDifQDI-fYl8rmMYJKA
Mind Gym AI: Pelatih Keterampilan Berpikir,"Bangun sebuah aplikasi web interaktif yang berfungsi sebagai pelatih untuk mengasah keterampilan berpikir. Pengguna memilih jenis keterampilan yang ingin dilatih (kritis, lateral, atau sistemik), dan AI akan memberikan sebuah skenario atau teka-teki yang dirancang khusus untuk melatih keterampilan tersebut, lengkap dengan opsi untuk meminta petunjuk dan melihat jawaban.",https://ai.studio/apps/drive/1CxbxYx90ALnE6phhCH60I6dKfppKdacD
Jurnal Awam AI: Perangkum Jurnal Ilmiah,"Bangun sebuah aplikasi web yang berfungsi sebagai penerjemah sains. Pengguna menempelkan abstrak atau teks lengkap dari sebuah jurnal ilmiah yang padat dan teknis, dan AI akan merangkumnya menjadi penjelasan yang mudah dipahami oleh orang awam, tanpa menghilangkan esensi temuan utamanya.",https://ai.studio/apps/drive/1Ht1c6ueytez3J-N4DKHusfr7ALaNjFVp
Koki Kreatif AI: Resep dari Kulkas,"Bangun sebuah aplikasi web yang berfungsi sebagai koki pribadi. Pengguna memasukkan daftar bahan-bahan yang mereka miliki, dan AI akan menciptakan sebuah ide resep masakan yang kreatif dan lezat, lengkap dengan nama masakan, daftar bahan, dan langkah-langkah pembuatannya.",https://ai.studio/apps/drive/1gAvc9yLj5fywwshGX4U3vLJph1dhoPy0
Perencana Kencan Sempurna AI,"Bangun sebuah aplikasi web yang berfungsi sebagai perencana kencan pribadi. Pengguna memasukkan minat pasangan, budget, dan suasana yang diinginkan, lalu AI akan merancang sebuah itinerary kencan yang unik, personal, dan lengkap dari awal hingga akhir.",https://ai.studio/apps/drive/1JtrleP4NQH3HTEay8Q2lvUryQhLI6Oie
Penata Gaya Pribadi AI: Personal Outfit Stylist,"Bangun sebuah aplikasi web yang berfungsi sebagai penata gaya pribadi virtual. Pengguna memasukkan jenis acara, gaya busana, dan gaya yang diinginkan, lalu AI akan memberikan satu rekomendasi outfit yang lengkap dan koheren, dari atasan hingga sepatu dan aksesori.",https://ai.studio/apps/drive/17CjxDON_dYN-dA95uwJCZMdH8MsjZA1D
Pemandu Meditasi Teks AI: Guided Meditation Script,"Bangun sebuah aplikasi web yang berfungsi sebagai generator naskah meditasi terpandu. Pengguna memilih tema dan durasi, dan AI akan menghasilkan sebuah naskah yang menenangkan dan siap dibacakan, lengkap dengan arahan untuk jeda dan pernapasan.",https://ai.studio/apps/drive/1Gg-lknlJYK7lRGAt_NFvy8ewTL-BGDi3
Resolusi SMART AI: Personal Goal Setter,"Bangun sebuah aplikasi web yang berfungsi sebagai pelatih penetapan tujuan. Pengguna memasukkan sebuah tujuan atau resolusi yang masih umum, dan AI akan membantu merumuskannya kembali menjadi tujuan yang **SMART** (Specific, Measurable, Achievable, Relevant, Time-bound).",https://ai.studio/apps/drive/1PJtigeMRJ3GEaUvxOICCcE3CPrUzT71C
Asisten Tanaman Hias AI: Plant Care Guide,"Bangun sebuah aplikasi web yang berfungsi sebagai 'dokter tanaman' virtual. Pengguna memasukkan nama tanaman hias mereka, dan AI akan memberikan panduan perawatan yang lengkap dan mudah diikuti, mencakup frekuensi penyiraman, kebutuhan cahaya, dan cara mengatasi hama umum.",https://ai.studio/apps/drive/1F0s3rQRvVYMwqvWRmYhQHfW3NWH8U3H0
Perencana Pesta Kejutan AI,"Bangun sebuah aplikasi web yang berfungsi sebagai perencana acara rahasia. Pengguna memasukkan detail tentang orang yang akan diberi kejutan, budget, dan tanggal, lalu AI akan menyusun rencana pesta kejutan yang lengkap dari A sampai Z, termasuk ide tema, rundown acara, dan timeline persiapan mundur.",https://ai.studio/apps/drive/1LrDIN33G7zRnCLl_zmvYEARtagr6RQCk
Penulis Ucapan Selamat AI,"Bangun sebuah aplikasi web yang membantu pengguna menulis ucapan selamat yang tulus dan personal. Pengguna memilih jenis acara, hubungan mereka dengan penerima, dan gaya yang diinginkan, lalu AI akan membuat beberapa draf ucapan yang bisa langsung digunakan atau dimodifikasi.",https://ai.studio/apps/drive/1BeKOg520WJUw2yclO6WR_cJcanzHJN-Z
Pemandu Wisata Virtual AI,"Bangun sebuah aplikasi web yang berfungsi sebagai pemandu wisata pribadi. Pengguna memasukkan nama sebuah kota atau museum terkenal, dan AI akan menulis sebuah narasi tur yang imersif dan informatif, seolah-olah pengguna sedang berjalan-jalan di lokasi tersebut.",https://ai.studio/apps/drive/1MaafSGs6JF-VXMgVC9T_KR8Uu-zzXuRY
Konsultan Keuangan Mikro AI,"Bangun sebuah aplikasi web yang berfungsi sebagai konsultan keuangan pribadi. Pengguna mendeskripsikan gaya hidup, kebiasaan belanja, dan tujuan finansial mereka, lalu AI akan memberikan serangkaian tips praktis dan dapat ditindaklanjuti untuk menabung dan mengelola keuangan harian.",https://ai.studio/apps/drive/1ANprAT-MToijUFPmb1u7_fOCot07Xtk_
Pembuat Alur Game AI: Game Concept Generator,"Bangun sebuah aplikasi web untuk para desainer game dan penulis. Pengguna memasukkan genre game dan satu kalimat ide utama, lalu AI akan menghasilkan konsep game yang lebih utuh, termasuk judul, mekanik inti, dan alur cerita dasar.",https://ai.studio/apps/drive/1eFVJWoDf4M6nnDnJJnw1xVXxiuHC3p1Z
WorldForge AI: Generator Dunia Fiksi,"Bangun sebuah aplikasi web untuk para penulis dan world-builder. Pengguna memasukkan satu tema atau konsep inti, dan AI akan menghasilkan deskripsi yang kaya dan mendalam untuk sebuah dunia fiksi baru, lengkap dengan geografi, budaya, sistem sihir/teknologi, dan faksi politiknya.",https://ai.studio/apps/drive/1n0Fe4MD4qm9NfJCfPJPxUZsUXqn7eTqb
Text Adventure RPG AI,"Bangun sebuah aplikasi web interaktif yang berfungsi sebagai permainan petualangan berbasis teks (text-based RPG). AI akan berperan sebagai Game Master (GM), mendeskripsikan dunia dan skenario, sementara pengguna mengetikkan tindakan yang ingin mereka lakukan. AI akan merespons tindakan tersebut dan melanjutkan cerita.",https://ai.studio/apps/drive/1iPSR5vWLqWl_okKpGlyrdzeF6OUyj-b-
Trivia Forge AI: Custom Trivia Generator,"Bangun sebuah aplikasi web yang berfungsi sebagai pembuat kuis trivia kustom. Pengguna memasukkan topik yang sangat spesifik, memilih jumlah pertanyaan dan tingkat kesulitan, lalu AI akan menghasilkan satu set pertanyaan trivia yang menantang, lengkap dengan jawabannya.",https://ai.studio/apps/drive/1uocfdCl-sLVUABj5B3nZRKfLdief8Vst
Bapak AI: Generator Lelucon Ayah,"Bangun sebuah aplikasi web sederhana yang berfungsi sebagai generator lelucon ayah (dad jokes) tanpa henti. Pengguna memasukkan sebuah kata kunci, dan AI akan membuat lelucon receh atau permainan kata (pun) berdasarkan kata kunci tersebut.",https://ai.studio/apps/drive/1G4zS3Hx9kcKAfjWIyuQHh0ogTxIdM-vo
What If AI: Alternate Reality Explorer,"Bangun sebuah aplikasi web yang memungkinkan pengguna menjelajahi skenario sejarah atau fiksi alternatif. Pengguna mengajukan pertanyaan ""Bagaimana jika..."", dan AI akan menulis sebuah esai naratif yang mengeksplorasi konsekuensi dan realitas alternatif dari skenario tersebut.",https://ai.studio/apps/drive/1e5GH1eLqD4YZmgz22X5uzXrCeP_prnE8
Generator Konspirasi Fiktif: The Truth Is In Here AI,"Bangun sebuah aplikasi web yang menciptakan teori konspirasi yang terdengar meyakinkan (namun sepenuhnya fiktif dan untuk hiburan). Pengguna memasukkan sebuah objek atau peristiwa sehari-hari, dan AI akan menghasilkan sebuah teori konspirasi yang rumit dan lucu tentangnya.",https://ai.studio/apps/drive/1pzXxm2iipojK1k-xpnCjkYfQ7r2ZiZmD
Pembuat Resep Aneh AI: Grimoire Gastronomi,"Bangun sebuah aplikasi web hiburan yang menghasilkan resep makanan yang aneh dan lucu. Pengguna memilih persona (Alien atau Penyihir) dan nama makanan normal, lalu AI akan menulis ulang resep tersebut seolah-olah berasal dari dunia lain, lengkap dengan bahan-bahan dan langkah-langkah yang tidak masuk akal.",https://ai.studio/apps/drive/1Rfm24ax8YIGfeDPdGSLZ6_17lOmTUZo1
Komentator Pertandingan Fiktif AI,"Bangun sebuah aplikasi web hiburan yang menulis narasi komentar play-by-play yang seru untuk pertandingan olahraga yang sepenuhnya fiktif. Pengguna memasukkan nama olahraga aneh, dan AI akan menghasilkan naskah komentar yang dramatis dan penuh semangat seolah-olah sedang menyiarkan momen puncak pertandingan.",https://ai.studio/apps/drive/1XCvldZaVhswkyCAl7x1a_cnUYEhZWvGJ
Pembuat Mitos Urban AI: Creepypasta Generator,"Bangun sebuah aplikasi web yang menciptakan cerita legenda urban atau creepypasta baru yang menyeramkan. Pengguna memasukkan sebuah lokasi atau objek yang umum, dan AI akan menulis sebuah cerita horor pendek yang terasa seperti mitos yang bisa menyebar dari mulut ke mulut.",https://ai.studio/apps/drive/1vsrvsg3oDUAMFaW0t4LOMx0KEdQ0jZGa
Code Weaver AI: Pseudocode Translator,"Bangun sebuah aplikasi web yang berfungsi sebagai penerjemah dari logika bahasa manusia atau pseudocode menjadi kode pemrograman yang fungsional. Pengguna menulis alur logika mereka, memilih bahasa target, dan AI akan menghasilkan kode yang siap pakai.",https://ai.studio/apps/drive/1ixy2slP1XzLrKLjyrUdbtg9lDlaJOejZ
Helpful Error Message Generator,"Bangun sebuah aplikasi web untuk para developer yang berfungsi sebagai penulis pesan error. Pengguna mendeskripsikan sebuah situasi error teknis, dan AI akan menulis pesan error yang jelas, informatif, dan ramah pengguna, lengkap dengan penjelasan dan saran perbaikan untuk developer.",https://ai.studio/apps/drive/1CkwfO_LacoB077P4eECZxkfh4hmonNyU
JSON Data Factory AI,"Bangun sebuah aplikasi web yang berfungsi sebagai generator data sampel (dummy data) dalam format JSON. Pengguna mendeskripsikan skema data yang mereka butuhkan dalam bahasa biasa, dan AI akan menghasilkan array objek JSON yang sesuai, sangat berguna untuk prototyping dan pengujian.",https://ai.studio/apps/drive/1icO2JAkUCwET8DqTS6dSsxiTGkvnvRv-
Code Commenter AI: Docstring Generator,"Bangun sebuah aplikasi web yang secara otomatis mendokumentasikan kode. Pengguna menempelkan sebuah fungsi kode, dan AI akan menganalisisnya untuk menulis komentar atau docstring yang jelas, menjelaskan tujuan fungsi, parameter input, dan nilai outputnya.",https://ai.studio/apps/drive/1rxpum93fExwN1AmKqZRIMQGWfb0TGNnq
Cron Job AI Translator,"Bangun sebuah aplikasi web utilitas yang menerjemahkan deskripsi jadwal dalam bahasa manusia menjadi sintaks cron job yang benar. Pengguna menulis kapan mereka ingin sebuah tugas dijalankan, dan AI akan menghasilkan string cron yang sesuai.",https://ai.studio/apps/drive/1HafIvY5oIvM_p3aIM24tZk1Jgc9h1PtN
Natural Language to SQL Assistant,"Bangun sebuah aplikasi web yang berfungsi sebagai penerjemah bahasa manusia ke query SQL. Pengguna menulis permintaan data dalam kalimat biasa dan mendeskripsikan skema tabel mereka, lalu AI akan menghasilkan query SQL yang sesuai.",https://ai.studio/apps/drive/1bTTYpaV7LKN4pc1wQJppB1d0Hrhmnr5Q
Regex Explainer AI,"Bangun sebuah aplikasi web utilitas yang berfungsi sebagai penerjemah ekspresi reguler (regex). Pengguna memasukkan sebuah pola regex yang rumit, dan AI akan menguraikannya bagian per bagian dan menjelaskannya dalam bahasa manusia yang mudah dimengerti.",https://ai.studio/apps/drive/1FdW1wGienxcZ0MTz15G4IuYddTCBsAJ5
Test Case Generator AI,"Bangun sebuah aplikasi web untuk para software tester dan developer. Pengguna mendeskripsikan sebuah fitur aplikasi, dan AI akan secara otomatis membuat daftar kasus uji (test cases) yang komprehensif, mencakup skenario normal (happy path), skenario negatif, dan kasus-kasus tepi (edge cases).",https://ai.studio/apps/drive/1Ir2tvAEQIm1mPIsug4i0lZeNBAJAJ59U
Clean Code Namer AI,"Bangun sebuah aplikasi web utilitas untuk para programmer. Pengguna mendeskripsikan tujuan sebuah variabel atau fungsi dalam bahasa biasa, dan AI akan memberikan beberapa saran nama yang deskriptif dalam berbagai konvensi penulisan kode (camelCase, PascalCase, snake_case, kebab-case).",https://ai.studio/apps/drive/1xd3Fl03OIRDdxYjv1Qpxgupm07SyiC_S
README Generator AI,"Bangun sebuah aplikasi web yang secara otomatis menghasilkan file README.md yang terstruktur dan profesional untuk proyek perangkat lunak. Pengguna memberikan nama proyek, deskripsi singkat, dan bahasa/teknologi yang digunakan, lalu AI akan membuat template README yang lengkap.",https://ai.studio/apps/drive/19IJAvMJA_rnolQCJkX3xSyehd4Pj1zuc
Public Speaking Coach AI: Speech Analyzer,"Bangun sebuah aplikasi web yang berfungsi sebagai pelatih public speaking virtual. Pengguna menempelkan draf pidato mereka, dan AI akan menganalisisnya untuk memberikan saran konkret tentang cara membuatnya lebih berdampak, termasuk saran untuk kalimat pembuka dan penutup, serta di mana harus memberikan jeda untuk penekanan.",https://ai.studio/apps/drive/1klPKCc1l6DHTeMLu68WcRUY-2ZWCa_PL
Mediator Konflik AI: Neutral Ground,"Bangun sebuah aplikasi web yang berfungsi sebagai mediator konflik virtual yang netral. Pengguna mendeskripsikan sebuah masalah atau perselisihan dari dua sudut pandang yang berbeda, dan AI akan memberikan analisis objektif, mengidentifikasi inti masalah, dan menyarankan langkah-langkah komunikasi untuk mencapai resolusi.",https://ai.studio/apps/drive/14-aLGQ0pQ3pEASM5UBeJchAk4a7vXsEy
Surat Lamaran Pro AI: Cover Letter Writer,"Bangun sebuah aplikasi web yang secara otomatis membuat surat lamaran kerja (cover letter) yang dipersonalisasi. Pengguna menempelkan deskripsi pekerjaan dan CV mereka, lalu AI akan menulis draf surat lamaran yang menyoroti pengalaman paling relevan dari CV untuk posisi yang dituju.",https://ai.studio/apps/drive/1g7oL35TlDYg2ojLRL9SjKxa6LDUPK-kP
Generator Sumpah Pernikahan AI,"Bangun sebuah aplikasi web yang membantu pengguna menulis janji atau sumpah pernikahan (wedding vows) yang personal dan menyentuh. Pengguna memasukkan beberapa kenangan, sifat yang disukai, dan janji untuk pasangan mereka, lalu AI akan merangkainya menjadi sebuah naskah yang indah dan puitis.",https://ai.studio/apps/drive/1GF7sXX-7WokqA4lbwJveimj2793UmRh0
Oracle AI: Pembaca Tarot Virtual,"Bangun sebuah aplikasi web hiburan yang berfungsi sebagai peramal tarot fiktif. Pengguna mengajukan sebuah pertanyaan atau fokus, dan AI akan melakukan ""pembacaan"" tiga kartu tarot (Masa Lalu, Saat Ini, Masa Depan) dengan interpretasi yang puitis, introspektif, dan simbolis.",https://ai.studio/apps/drive/1rEd_Mhh2y8YfNYniqM272yIG1rfimllU
Pembuat Pidato Motivasi AI,"Bangun sebuah aplikasi web yang berfungsi sebagai penulis pidato motivasi. Pengguna memilih sebuah tema utama, dan AI akan menghasilkan naskah pidato singkat yang kuat, membangkitkan semangat, dan siap untuk disampaikan.",https://ai.studio/apps/drive/1gRmGBr1ovYzIiiaiD324uFvWVEx-bAUV
Asisten Negosiasi Gaji AI,"Bangun sebuah aplikasi web yang berfungsi sebagai pelatih negosiasi gaji. Pengguna memasukkan data tentang posisi, industri, dan pencapaian mereka, lalu AI akan menghasilkan poin-poin argumen yang kuat dan frasa-frasa kunci yang bisa langsung digunakan dalam percakapan negosiasi.",https://ai.studio/apps/drive/1iwKdEx5bJ3YCEC7VyCzPakmcRRgthsD_
Generator Ulasan Produk Palsu AI,"Bangun sebuah aplikasi web yang menghasilkan ulasan produk palsu yang detail dan terdengar otentik untuk tujuan pengujian atau contoh. Pengguna memasukkan nama produk dan memilih sentimen, lalu AI akan menulis sebuah ulasan lengkap seolah-olah dari pelanggan sungguhan.",https://ai.studio/apps/drive/1tLx3z_fUiExB_gd9EvbpbxA2DfnsWT86
SloganGen AI: Campaign Slogan Generator,"Bangun sebuah aplikasi web yang berfungsi sebagai generator slogan kampanye. Pengguna mendeskripsikan tujuan utama dan target audiens dari kampanye mereka, lalu AI akan menghasilkan beberapa opsi slogan yang menarik, ringkas, dan mudah diingat.",https://ai.studio/apps/drive/1-sesReiPO4-xudyko3RRHTV42TjmV64L
